index,eventtime,origin,domain,operation,description,date,insuredDocument,street,number,neighbourhood,city,state,zipcode,country,policyNumber,documentNumberNotifier,nameNotifier,birthdateNotifier,genderNotifier,emailNotifier,coverageCode,status_sinistro,notificationType,paidAmount,id,id_notification
3,2023-12-07 18:42:57,Asseguraê,Seguro,CLAIMS_STATUS_UPDATED,pegou fogo,2023-12-07,12345678900,Rua Cruz de Malta,666,Parada Inglesa,São Paulo,SP,2248000,Brazil,6173,12345678900,Allan Brinks,2000-11-11,M,br1nqued0@hotmail.com,3998,APROVADO,INCENDIO,50000.00,4,2703
10,2023-12-07 20:51:25,Asseguraê,Seguro,CLAIMS_STATUS_UPDATED,"gas ligado, explodiu",2023-12-07,12345678900,Rua Cruz de Malta,666,Parada Inglesa,São Paulo,SP,2248000,Brazil,6175,12345678900,Allan Brinks,2000-11-11,M,br1nqued0@hotmail.com,4003,APROVADO,INCENDIO,50000.00,11,2752
9,2023-12-07 20:50:40,Asseguraê,Seguro,CLAIMS_STATUS_UPDATED,choveu mto,2023-12-07,12345678900,Rua Cruz de Malta,666,Parada Inglesa,São Paulo,SP,2248000,Brazil,6175,12345678900,Allan Brinks,2000-11-11,M,br1nqued0@hotmail.com,4002,APROVADO,ALAGAMENTO,50000.00,10,2706
14,2023-12-13 17:20:29,Asseguraê,Seguro,CLAIM_NOTIFIED,pegou fogo na cozinha,2023-12-13,43810518149,Rua Marzagão,396,Renascença,Belo Horizonte,SP,31130750,Brazil,6182,43810518149,Allan Mariano,2000-11-11,M,allan_mariano@hotmail.com,4014,PENDENTE,INCENDIO,,16,2904
13,2023-12-13 17:19:39,Asseguraê,Seguro,CLAIM_NOTIFIED,pegooou fogo,2023-12-13,43810518149,Rua Marzagão,396,Renascença,Belo Horizonte,SP,31130750,Brazil,6182,43810518149,Allan Mariano,2000-11-11,M,allan_mariano@hotmail.com,4014,PENDENTE,INCENDIO,,15,2903
12,2023-12-13 17:19:22,Asseguraê,Seguro,CLAIM_NOTIFIED,Pegou fogo,2023-12-13,11122233344,Rua Barra do Caeté,123,Jardim Tietê,São Paulo,SP,3943040,Brazil,6123,11122233344,Samir Manja,1999-10-19,M,sammanja@outlook.com,3907,PENDENTE,INCENDIO,,14,2902
11,2023-12-12 15:10:42,Asseguraê,Seguro,CLAIM_NOTIFIED,passou um furacao na minha rua,2023-12-12,43810518149,Rua Marzagão,396,Renascença,Belo Horizonte,SP,31130750,Brazil,6177,43810518149,Allan Mariano,2000-11-11,M,allan_mariano@hotmail.com,4007,PENDENTE,VENDAVAL,,12,2802
8,2023-12-07 19:20:11,Asseguraê,Seguro,CLAIM_NOTIFIED,deixei o chuveiro aberto,2023-12-07,12345678900,Rua Cruz de Malta,666,Parada Inglesa,São Paulo,SP,2248000,Brazil,6175,12345678900,Allan Brinks,2000-11-11,M,br1nqued0@hotmail.com,4002,PENDENTE,ALAGAMENTO,,9,2754
7,2023-12-07 19:19:34,Asseguraê,Seguro,CLAIM_NOTIFIED,passarinho bateu na janela e foi de F,2023-12-07,12345678900,Rua Cruz de Malta,666,Parada Inglesa,São Paulo,SP,2248000,Brazil,6174,12345678900,Allan Brinks,2000-11-11,M,br1nqued0@hotmail.com,4001,PENDENTE,QUEBRA DE VIDROS,,8,2753
2,2023-12-07 18:42:19,Asseguraê,Seguro,CLAIM_NOTIFIED,ventou mto,2023-12-07,12345678900,Rua Cruz de Malta,666,Parada Inglesa,São Paulo,SP,2248000,Brazil,6173,12345678900,Allan Brinks,2000-11-11,M,br1nqued0@hotmail.com,4000,PENDENTE,VENDAVAL,,3,2705
1,2023-12-07 18:41:43,Asseguraê,Seguro,CLAIM_NOTIFIED,chutaram a bola na janela,2023-12-07,12345678900,Rua Cruz de Malta,666,Parada Inglesa,São Paulo,SP,2248000,Brazil,6174,12345678900,Allan Brinks,2000-11-11,M,br1nqued0@hotmail.com,4001,PENDENTE,QUEBRA DE VIDROS,,2,2704
15,2023-12-13 17:20:36,Asseguraê,Seguro,CLAIM_NOTIFIED,Pegou fogo bixo,2023-12-13,11122233344,Rua Barra do Caeté,123,Jardim Tietê,São Paulo,SP,3943040,Brazil,6136,11122233344,Samir Manja,1999-10-19,M,sammanja@outlook.com,3931,PENDENTE,INCENDIO,,17,2905
16,2023-12-13 17:41:07,Asseguraê,Seguro,CLAIM_NOTIFIED,fogo,2023-12-13,43810518149,Rua Marzagão,396,Renascença,Belo Horizonte,SP,31130750,Brazil,6182,43810518149,Allan Mariano,2000-11-11,M,allan_mariano@hotmail.com,4014,PENDENTE,INCENDIO,,18,2906
4,2023-12-07 18:43:47,Asseguraê,Seguro,CLAIMS_STATUS_UPDATED,chutaram a bola na janela,2023-12-07,12345678900,Rua Cruz de Malta,666,Parada Inglesa,São Paulo,SP,2248000,Brazil,6174,12345678900,Allan Brinks,2000-11-11,M,br1nqued0@hotmail.com,4001,RECUSADO,QUEBRA DE VIDROS,1000.00,5,2704
